Gene symbol;Element subtype;Class;;;;;;;;;
aph(3'')-Ib;AMR;AMINOGLYCOSIDE;;;;;;;;;
aph(6)-Id;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(3)-IIe;AMR;AMINOGLYCOSIDE;;;;;;;;;
ant(2'')-Ia;AMR;AMINOGLYCOSIDE;;;;;;;;;
aadA1;AMR;AMINOGLYCOSIDE;;;;;;;;;
aph(3')-IIIa;AMR;AMINOGLYCOSIDE;;;;;;;;;
ant(6)-Ia;AMR;AMINOGLYCOSIDE;;;;;;;;;
aadA15;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(6')-Il;AMR;AMINOGLYCOSIDE;;;;;;;;;
aph(3')-Ia;AMR;AMINOGLYCOSIDE;;;;;;;;;
rmtB1;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(3)-IId;AMR;AMINOGLYCOSIDE;;;;;;;;;
aadA2;AMR;AMINOGLYCOSIDE;;;;;;;;;
aadA5;AMR;AMINOGLYCOSIDE;;;;;;;;;
aph(3')-VI;AMR;AMINOGLYCOSIDE;;;;;;;;;
armA;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(6')-Ib3;AMR;AMINOGLYCOSIDE;;;;;;;;;
rmtC;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(6')-Ib;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(6')-Ib4;AMR;AMINOGLYCOSIDE;;;;;;;;;
aph(3')-VIa;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(6')-IIc;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(6')-Ie/aph(2'')-Ia;AMR;AMINOGLYCOSIDE;;;;;;;;;
aadD1;AMR;AMINOGLYCOSIDE;;;;;;;;;
spd;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(3)-IIg;AMR;AMINOGLYCOSIDE;;;;;;;;;
spw;AMR;AMINOGLYCOSIDE;;;;;;;;;
apmA;AMR;AMINOGLYCOSIDE;;;;;;;;;
rmtF1;AMR;AMINOGLYCOSIDE;;;;;;;;;
aph(3')-XV;AMR;AMINOGLYCOSIDE;;;;;;;;;
str;AMR;AMINOGLYCOSIDE;;;;;;;;;
aadA16;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(6')-Ib';AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(3)-Ia;AMR;AMINOGLYCOSIDE;;;;;;;;;
aadA13;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(6')-29;AMR;AMINOGLYCOSIDE;;;;;;;;;
aph(3')-VIb;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(6')-29b;AMR;AMINOGLYCOSIDE;;;;;;;;;
aadA31;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(6')-29a;AMR;AMINOGLYCOSIDE;;;;;;;;;
rmtB4;AMR;AMINOGLYCOSIDE;;;;;;;;;
rmtF;AMR;AMINOGLYCOSIDE;;;;;;;;;
ant(9)-Ia;AMR;AMINOGLYCOSIDE;;;;;;;;;
aadA22;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(3)-IVa;AMR;AMINOGLYCOSIDE;;;;;;;;;
aph(4)-Ia;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(3)-Ic;AMR;AMINOGLYCOSIDE;;;;;;;;;
aadA25;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(3)-VIa;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(6')-Im;AMR;AMINOGLYCOSIDE;;;;;;;;;
aph(2'')-IIa;AMR;AMINOGLYCOSIDE;;;;;;;;;
aph(3')-IIa;AMR;AMINOGLYCOSIDE;;;;;;;;;
aph(6)-Ic;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(6')-Ib11;AMR;AMINOGLYCOSIDE;;;;;;;;;
aadA6;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(3)-Id;AMR;AMINOGLYCOSIDE;;;;;;;;;
aac(6')-Ia;AMR;AMINOGLYCOSIDE;;;;;;;;;
