Best_Hit_ARO;Class;Drug Class;Antibiotic
ANT(9)-Ia;aminocyclitol;aminoglycoside antibiotic;spectinomycin
aadA13;aminocyclitol, aminoglycoside;aminoglycoside antibiotic;"spectinomycin; streptomycin"
aadA16;aminocyclitol, aminoglycoside;aminoglycoside antibiotic;"spectinomycin; streptomycin"
aadA17;aminocyclitol, aminoglycoside;aminoglycoside antibiotic;"spectinomycin; streptomycin"
aadA2;aminocyclitol, aminoglycoside;aminoglycoside antibiotic;"spectinomycin; streptomycin"
aadA22;aminocyclitol, aminoglycoside;aminoglycoside antibiotic;"spectinomycin; streptomycin"
aadA24;aminocyclitol, aminoglycoside;aminoglycoside antibiotic;"spectinomycin; streptomycin"
aadA5;aminocyclitol, aminoglycoside;aminoglycoside antibiotic;"spectinomycin; streptomycin"
aadA6;aminocyclitol, aminoglycoside;aminoglycoside antibiotic;"spectinomycin; streptomycin"
AAC(3)-Ia;aminoglycoside;aminoglycoside antibiotic;"astromicin; sisomicin; gentamicin"
AAC(3)-Ic;aminoglycoside;aminoglycoside antibiotic;"astromicin; sisomicin; gentamicin"
AAC(3)-Id;aminoglycoside;aminoglycoside antibiotic;"astromicin; sisomicin; gentamicin"
AAC(3)-IId;aminoglycoside;aminoglycoside antibiotic;"dibekacin; sisomicin; netilmicin; tobramycin; 6'-N-ethylnetilmicin; 2'-N-ethylnetilmicin; gentamicin"
AAC(3)-IIe;aminoglycoside;aminoglycoside antibiotic;"dibekacin; sisomicin; netilmicin; tobramycin; 6'-N-ethylnetilmicin; 2'-N-ethylnetilmicin; gentamicin"
AAC(3)-IIg;aminoglycoside;aminoglycoside antibiotic;"dibekacin; sisomicin; netilmicin; tobramycin; 6'-N-ethylnetilmicin; 2'-N-ethylnetilmicin; gentamicin"
AAC(3)-IVa;aminoglycoside;aminoglycoside antibiotic;"dibekacin; sisomicin; apramycin; netilmicin; tobramycin; 6'-N-ethylnetilmicin; 2'-N-ethylnetilmicin; gentamicin"
AAC(3)-VIa;aminoglycoside;aminoglycoside antibiotic;"sisomicin; 6'-N-ethylnetilmicin; gentamicin"
AAC(6')-29b;aminoglycoside;aminoglycoside antibiotic;"dibekacin; amikacin; kanamycin A; tobramycin; isepamicin"
AAC(6')-Ia;aminoglycoside;aminoglycoside antibiotic;"dibekacin; amikacin; sisomicin; netilmicin; tobramycin; 2'-N-ethylnetilmicin; 5-episisomicin"
AAC(6')-Ib;aminoglycoside;aminoglycoside antibiotic;"amikacin; kanamycin A; tobramycin"
AAC(6')-Ib';aminoglycoside;aminoglycoside antibiotic;"amikacin; tobramycin"
AAC(6')-Ib3;aminoglycoside;aminoglycoside antibiotic;"amikacin; kanamycin A; tobramycin"
AAC(6')-Ib4;aminoglycoside;aminoglycoside antibiotic;"amikacin; kanamycin A; tobramycin"
AAC(6')-IIc;aminoglycoside;aminoglycoside antibiotic;"dibekacin; sisomicin; netilmicin; tobramycin; 2'-N-ethylnetilmicin; 5-episisomicin; gentamicin"
AAC(6')-Il;aminoglycoside;aminoglycoside antibiotic;"dibekacin; amikacin; sisomicin; netilmicin; tobramycin; 2'-N-ethylnetilmicin; 5-episisomicin"
AAC(6')-Im;aminoglycoside;aminoglycoside antibiotic;"dibekacin; amikacin; sisomicin; netilmicin; tobramycin; 2'-N-ethylnetilmicin; 5-episisomicin"
ANT(2'')-Ia;aminoglycoside;aminoglycoside antibiotic;"dibekacin; sisomicin; kanamycin A; tobramycin; gentamicin"
ANT(6)-Ia;aminoglycoside;aminoglycoside antibiotic;streptomycin
APH(2'')-IIa;aminoglycoside;aminoglycoside antibiotic;plazomicin
APH(3')-Ia;aminoglycoside;aminoglycoside antibiotic;"neomycin; ribostamycin; kanamycin A; gentamicin B; paromomycin; lividomycin; gentamicin"
APH(3'')-Ib;aminoglycoside;aminoglycoside antibiotic;streptomycin
APH(3')-IIa;aminoglycoside;aminoglycoside antibiotic;"neomycin; ribostamycin; butirosin; kanamycin A; gentamicin B; paromomycin; gentamicin"
APH(3')-IIIa;aminoglycoside;aminoglycoside antibiotic;"neomycin; amikacin; ribostamycin; butirosin; kanamycin A; isepamicin; gentamicin B; paromomycin; lividomycin; gentamicin"
APH(3')-VIa;aminoglycoside;aminoglycoside antibiotic;"neomycin; amikacin; ribostamycin; butirosin; kanamycin A; isepamicin; gentamicin B; paromomycin; gentamicin"
APH(3')-VIb;aminoglycoside;aminoglycoside antibiotic;"neomycin; amikacin; ribostamycin; butirosin; kanamycin A; isepamicin; gentamicin B; paromomycin; gentamicin"
APH(4)-Ia;aminoglycoside;aminoglycoside antibiotic;hygromycin B
APH(6)-Ic;aminoglycoside;aminoglycoside antibiotic;streptomycin
APH(6)-Id;aminoglycoside;aminoglycoside antibiotic;streptomycin
apmA;aminoglycoside;aminoglycoside antibiotic;apramycin
armA;aminoglycoside;aminoglycoside antibiotic;"dibekacin; amikacin; gentamicin C; sisomicin; netilmicin; kanamycin A; tobramycin; isepamicin; G418; arbekacin; gentamicin B; gentamicin"
rmtB;aminoglycoside;aminoglycoside antibiotic;"dibekacin; amikacin; gentamicin C; sisomicin; netilmicin; kanamycin A; tobramycin; isepamicin; G418; arbekacin; gentamicin B; gentamicin"
rmtC;aminoglycoside;aminoglycoside antibiotic;"dibekacin; amikacin; gentamicin C; sisomicin; netilmicin; kanamycin A; tobramycin; isepamicin; G418; arbekacin; gentamicin B; gentamicin"
rmtF;aminoglycoside;aminoglycoside antibiotic;"astromicin; kanamycin A; gentamicin A; gentamicin"
spd;aminoglycoside;aminoglycoside antibiotic;spectinomycin
AAC(6')-Ib-cr5;aminoglycoside/quinolone;"fluoroquinolone antibiotic; aminoglycoside antibiotic";"amikacin; ciprofloxacin; kanamycin A; tobramycin"
catB2;amphenicol;phenicol antibiotic;"azidamfenicol; chloramphenicol; thiamphenicol"
catB3;amphenicol;phenicol antibiotic;"azidamfenicol; chloramphenicol; thiamphenicol"
catB8;amphenicol;phenicol antibiotic;"azidamfenicol; chloramphenicol; thiamphenicol"
cmlA1;amphenicol;phenicol antibiotic;chloramphenicol
cmx;amphenicol;phenicol antibiotic;chloramphenicol
fexA;amphenicol;phenicol antibiotic;"chloramphenicol; florfenicol"
fexB;amphenicol;phenicol antibiotic;florfenicol
floR;amphenicol;phenicol antibiotic;"chloramphenicol; florfenicol"
oqxA;amphenicol, folate pathway antagonist, quinolone;"fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic";"tigecycline; ciprofloxacin; nitrofurantoin; trimethoprim"
oqxB;amphenicol, folate pathway antagonist, quinolone;"fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic";"tigecycline; ciprofloxacin; nitrofurantoin; trimethoprim"
mecA;beta-lactam;penam;methicillin
mcr-10.1;colistin;peptide antibiotic;"colistin A; colistin B"
MCR-9.1;colistin;peptide antibiotic;"colistin A; colistin B"
mdtM;efflux;"fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics";"acriflavine; lincomycin; puromycin; chloramphenicol; norfloxacin"
dfrA1;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
dfrA10;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
dfrA12;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
dfrA14;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
dfrA15;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
dfrA16;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
dfrA17;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
dfrA19;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
dfrA23;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
dfrA25;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
dfrA27;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
dfrA30;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
dfrA5;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
dfrA7;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
dfrA8;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
dfrB1;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
dfrB2;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
dfrB5;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
dfrG;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
dfrK;folate pathway antagonist;diaminopyrimidine antibiotic;trimethoprim
sul1;folate pathway antagonist;sulfonamide antibiotic;"sulfadiazine; sulfadimidine; sulfadoxine; sulfamethoxazole; sulfisoxazole; sulfacetamide; mafenide; sulfasalazine; sulfamethizole"
