Gene;Phenotype;Class;db;Type;Gene_corrected
aac(3)-I;Gentamicin,Astromicin,Fortimicin;aminoglycoside;resfinder;AMR;aac(3)-I
aac(3)-Ia;-;aminoglycoside;AMRFinderPlus;AMR;aac(3)-Ia
AAC(3)-Ia;astromicin,sisomicin,gentamicin;aminoglycoside;CARD;AMR;aac(3)-Ia
aac(6)-Ib-cr;;aminoglycoside;resfinder;AMR;aac(6)-Ib-cr
aac(6)-Ib4;;aminoglycoside;resfinder;AMR;aac(6)-Ib4
aph(3)-Ib;;aminoglycoside;resfinder;AMR;aph(3)-Ib
aac(3)-Ic;Gentamicin,Astromicin,Fortimicin;aminoglycoside;resfinder;AMR;aac(3)-Ic
AAC(3)-Ic;astromicin,sisomicin,gentamicin;aminoglycoside;CARD;AMR;aac(3)-Ic
aac(3)-Id;Gentamicin,Astromicin,Fortimicin;aminoglycoside;resfinder;AMR;aac(3)-Id
AAC(3)-Id;astromicin,sisomicin,gentamicin;aminoglycoside;CARD;AMR;aac(3)-Id
aac(3)-IIa;Gentamicin,Tobramycin,Apramycin,Gentamicin,Tobramycin,Dibekacin,Netilmicin,Sisomicin;aminoglycoside;resfinder;AMR;aac(3)-IIa
aac(3)-IIa;Apramycin,Gentamicin,Tobramycin,Dibekacin,Netilmicin,Sisomicin,Gentamicin,Tobramycin;aminoglycoside;resfinder;AMR;aac(3)-IIa
AAC(3)-IIc;dibekacin,sisomicin,netilmicin,tobramycin,6'-N-ethylnetilmicin,2'-N-ethylnetilmicin,gentamicin;aminoglycoside;CARD;AMR;aac(3)-IIc
aac(3)-IId;Apramycin,Gentamicin,Tobramycin,Dibekacin,Netilmicin,Sisomicin;aminoglycoside;resfinder;AMR;aac(3)-IId
AAC(3)-IId;dibekacin,sisomicin,netilmicin,tobramycin,6'-N-ethylnetilmicin,2'-N-ethylnetilmicin,gentamicin;aminoglycoside;CARD;AMR;aac(3)-IId
aac(3)-IIe;-;aminoglycoside;AMRFinderPlus;AMR;aac(3)-IIe
AAC(3)-IIe;dibekacin,sisomicin,netilmicin,tobramycin,6'-N-ethylnetilmicin,2'-N-ethylnetilmicin,gentamicin;aminoglycoside;CARD;AMR;aac(3)-IIe
aac(3)-IIg;-;aminoglycoside;AMRFinderPlus;AMR;aac(3)-IIg
AAC(3)-IIg;dibekacin,sisomicin,netilmicin,tobramycin,6'-N-ethylnetilmicin,2'-N-ethylnetilmicin,gentamicin;aminoglycoside;CARD;AMR;aac(3)-IIg
aac(3)-IV;Gentamicin,Tobramycin;aminoglycoside;resfinder;AMR;aac(3)-IV
aac(3)-IVa;-;aminoglycoside;AMRFinderPlus;AMR;aac(3)-IVa
AAC(3)-IVa;dibekacin,sisomicin,apramycin,netilmicin,tobramycin,6'-N-ethylnetilmicin,2'-N-ethylnetilmicin,gentamicin;aminoglycoside;CARD;AMR;aac(3)-IVa
aac(3)-VIa;Gentamicin,Gentamicin,Sisomicin,Netilmicin,Tobramycin;aminoglycoside;resfinder;AMR;aac(3)-VIa
AAC(3)-VIa;sisomicin,6'-N-ethylnetilmicin,gentamicin;aminoglycoside;CARD;AMR;aac(3)-VIa
aac(6')-29;-;aminoglycoside;AMRFinderPlus;AMR;aac(6')-29
aac(6')-29a;Amikacin,Tobramycin,Neomycin,Kanamycin,Netilmicin,Isepamicin,Sisomicin;aminoglycoside;resfinder;AMR;aac(6')-29a
aac(6')-29b;Amikacin,Tobramycin,Neomycin,Kanamycin,Netilmicin,Isepamicin,Sisomicin;aminoglycoside;resfinder;AMR;aac(6')-29b
AAC(6')-29b;dibekacin,amikacin,kanamycin A,tobramycin,isepamicin;aminoglycoside;CARD;AMR;aac(6')-29b
aac(6')-31;Amikacin,Gentamicin,Tobramycin,Neomycin,Kanamycin,Netilmicin,Isepamicin,Sisomicin;aminoglycoside;resfinder;AMR;aac(6')-31
aac(6')-aph(2'');Gentamicin,Tobramycin,Netilmicin,Kanamycin,Amikacin,Dibekacin,Isepamicin,Fortimicin,Streptomycin;aminoglycoside;resfinder;AMR;aac(6')-aph(2'')
aac(6')-Ia;Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin;aminoglycoside;resfinder;AMR;aac(6')-Ia
AAC(6')-Ia;dibekacin,amikacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin;aminoglycoside;CARD;AMR;aac(6')-Ia
aac(6')-Iai;Amikacin,Tobramycin;aminoglycoside;resfinder;AMR;aac(6')-Iai
aac(6')-Ian;-;aminoglycoside;resfinder;AMR;aac(6')-Ian
aac(6')-Ib;Amikacin,Tobramycin,Amikacin,Tobramycin,Kanamycin;aminoglycoside;resfinder;AMR;aac(6')-Ib
AAC(6')-Ib;amikacin,kanamycin A,tobramycin;aminoglycoside;CARD;AMR;aac(6')-Ib
aac(6')-Ib';-;aminoglycoside;AMRFinderPlus;AMR;aac(6')-Ib'
AAC(6')-Ib';amikacin,tobramycin;aminoglycoside;CARD;AMR;aac(6')-Ib'
AAC(6')-Ib10;amikacin,kanamycin A,tobramycin;aminoglycoside;CARD;AMR;aac(6')-Ib10
aac(6')-Ib11;-;aminoglycoside;AMRFinderPlus;AMR;aac(6')-Ib11
aac(6')-Ib3;Amikacin,Tobramycin;aminoglycoside;resfinder;AMR;aac(6')-Ib3
AAC(6')-Ib3;amikacin,kanamycin A,tobramycin;aminoglycoside;CARD;AMR;aac(6')-Ib3
aac(6')-Ib4;-;aminoglycoside;AMRFinderPlus;AMR;aac(6')-Ib4
AAC(6')-Ib4;amikacin,kanamycin A,tobramycin;aminoglycoside;CARD;AMR;aac(6')-Ib4
AAC(6')-Ib7;amikacin,kanamycin A,tobramycin;aminoglycoside;CARD;AMR;aac(6')-Ib7
