Antimicrobial;Class
gentamicin;aminoglycoside
tobramycin;aminoglycoside
streptomycin;aminoglycoside
amikacin;aminoglycoside
isepamicin;aminoglycoside
dibekacin;aminoglycoside
kanamycin;aminoglycoside
neomycin;aminoglycoside
lividomycin;aminoglycoside
paromomycin;aminoglycoside
ribostamycin;aminoglycoside
unknown aminoglycoside;aminoglycoside
butiromycin;aminoglycoside
butirosin;aminoglycoside
hygromycin;aminoglycoside
netilmicin;aminoglycoside
apramycin;aminoglycoside
sisomicin;aminoglycoside
arbekacin;aminoglycoside
kasugamycin;aminoglycoside
astromicin;aminoglycoside
fortimicin;aminoglycoside
spectinomycin;aminocyclitol
fluoroquinolone;quinolone
ciprofloxacin;quinolone
unknown quinolone;quinolone
nalidixic acid;quinolone
amoxicillin;beta-lactam
amoxicillin+clavulanic acid;beta-lactam
ampicillin;beta-lactam
ampicillin+clavulanic acid;beta-lactam
cefepime;beta-lactam
cefixime;beta-lactam
cefotaxime;beta-lactam
cefoxitin;beta-lactam
ceftazidime;beta-lactam
ertapenem;beta-lactam
imipenem;beta-lactam
meropenem;beta-lactam
piperacillin;beta-lactam
piperacillin+tazobactam;beta-lactam
unknown beta-lactam;beta-lactam
aztreonam;beta-lactam
cefotaxime+clavulanic acid;beta-lactam
temocillin;beta-lactam
ticarcillin;beta-lactam
ceftazidime+avibactam;beta-lactam
penicillin;beta-lactam
ceftriaxone;beta-lactam
ticarcillin+clavulanic acid;beta-lactam
cephalothin;beta-lactam
cephalotin;beta-lactam
piperacillin+clavulanic acid;beta-lactam
ceftiofur;under_development
sulfamethoxazole;folate pathway antagonist
trimethoprim;folate pathway antagonist
fosfomycin;fosfomycin
vancomycin;glycopeptide
teicoplanin;glycopeptide
bleomycin;glycopeptide
lincomycin;lincosamide
clindamycin;lincosamide
dalfopristin;streptogramin a
pristinamycin iia;streptogramin a
virginiamycin m;streptogramin a
quinupristin+dalfopristin;streptogramin a
tiamulin;pleuromutilin
carbomycin;macrolide
erythromycin;macrolide
azithromycin;macrolide
oleandomycin;macrolide
spiramycin;macrolide
tylosin;macrolide
telithromycin;macrolide
tetracycline;tetracycline
doxycycline;tetracycline
minocycline;tetracycline
tigecycline;tetracycline
quinupristin;streptogramin b
pristinamycin ia;streptogramin b
virginiamycin s;streptogramin b
linezolid;oxazolidinone
chloramphenicol;amphenicol
florfenicol;amphenicol
colistin;polymyxin
fusidic acid;steroid antibacterial
mupirocin;pseudomonic acid
rifampicin;rifamycin
metronidazole;nitroimidazole
narasin;ionophores
salinomycin;ionophores
maduramicin;ionophores
