replicon;replicon_family
Col(BS512);Col
Col(IMGS31);Col
Col(IRGK);Col
Col(KPHS6);Col
Col(MG828);Col
Col(MGD2);Col
Col(MP18);Col
Col(Ye4449);Col
Col156;Col
Col3M;Col
Col440I;Col
Col440I,Col440I;Col
Col440I,Col440I,Col440I,Col440I,Col440I;Col
Col440I,Col440II;Col
Col440I,RepA;Col
Col440II;Col
Col440II,ColRNAI;Col
Col8282;Col
ColE10;Col
ColKP3;Col
ColpVC;Col
ColRNAI;Col
IncA/C;IncA/C
IncA/C2;IncA/C
IncB/O/K/Z;IncB/O/K/Z
IncFIA(pBK30683);IncF
IncFIA(pBK30683),IncFII(pBK30683);IncF
IncFIA(pBK30683),IncFIB(AP001918);IncF
IncFIA(pBK30683),IncFIB(K),IncFII;IncF
IncFIA(pBK30683),IncFII(K);IncF
IncFIA(pBK30683),IncFII(S);IncF
IncFII(pBK30683);IncF
IncFIA(HI1);IncF
IncFIA(HI1),IncFIA(HI1),IncFIB(K),IncFII;IncF
IncFIA(HI1),IncFIA(HI1),IncFIB(pQil);IncF
IncFIA(HI1),IncFIB(K);IncF
IncFIA(HI1),IncFIB(K),IncFII(K);IncF
IncFIA(HI1),IncFIB(pQil);IncF
IncFIA(HI1),IncFII;IncF
IncFIA(HI1),IncFII(K);IncF
IncFIA(HI1),IncFII(Yp);IncF
IncFIA,IncFIB(AP001918);IncF
IncFIA,IncFIB(AP001918),IncFIC(FII);IncF
IncFIA,IncFIB(AP001918),IncFII;IncF
IncFIA,IncFIB(AP001918),IncFII(29);IncF
IncFIA,IncFIB(AP001918),IncFII(pAMA1167-NDM-5);IncF
IncFIA,IncFIB(AP001918),IncFII(pHN7A8);IncF
IncFIA,IncFIB(AP001918),IncFII(pRSB107);IncF
IncFIA,IncFIB(AP001918),IncFII(pSE11);IncF
IncFIA,IncFIB(AP001918),IncFII,IncFII;IncF
IncFIA,IncFIB(AP001918),IncFII,IncFII,IncFII(K);IncF
IncFIA,IncFIB(pB171);IncF
IncFIA,IncFIB(pB171),IncFII;IncF
IncFIA,IncFIB(pQil),IncFII(K),IncFII(pAMA1167-NDM-5);IncF
IncFIA,IncFII;IncF
IncFIA,IncFII(pAMA1167-NDM-5);IncF
IncFIA,IncFII(pRSB107);IncF
IncFIB(AP001918);IncF
IncFIB(AP001918),IncFIB(K);IncF
IncFIB(AP001918),IncFIC(FII);IncF
IncFIB(AP001918),IncFII;IncF
IncFIB(AP001918),IncFII(pCoo);IncF
IncFIB(AP001918),IncFII(pRSB107);IncF
IncFIB(AP001918),IncFII(pSE11);IncF
IncFIB(K);IncF
IncFIB(K),IncFIB(pQil);IncF
IncFIB(K),IncFIB(pQil),IncFII(K);IncF
IncFIB(K),IncFII;IncF
IncFIB(K),IncFII(K);IncF
IncFIB(K),IncFII(pCRY);IncF
IncFIB(K),IncFII(pKPX1);IncF
IncFIB(K),IncFII(Yp);IncF
IncFIB(K),IncFII,IncFII(pCRY);IncF
IncFIB(Mar);IncF
IncFIB(pB171);IncF
IncFIB(pB171),IncFII;IncF
IncFIB(pB171),IncFII(pCoo);IncF
IncFIB(pB171),IncFII(pRSB107);IncF
IncFIB(pB171),IncFII(S),IncFII(SARC14);IncF
IncFIB(pB171),IncFII(Yp);IncF
IncFIB(pECLA);IncF
IncFIB(pECLA),IncFIB(pQil),IncFII(pECLA);IncF
IncFIB(pECLA),IncFII(pECLA);IncF
IncFIB(pECLA),IncFII(pECLA),IncFII(pECLA);IncF
IncFIB(pENTAS01),IncFII(pECLA);IncF
IncFIB(pHCM2);IncF
IncFIB(pKPHS1);IncF
IncFIB(pQil);IncF
IncFIB(pQil),IncFII;IncF
IncFIB(pQil),IncFII(K);IncF
IncFIB(pQil),IncFII(K),IncFII(K);IncF
IncFII;IncF
IncFII(29);IncF
IncFII(K);IncF
IncFII(pCoo);IncF
IncFII(pCRY);IncF
IncFII(pECLA);IncF
IncFII(pHN7A8);IncF
IncFII(pKPX1);IncF
IncFII(pMET);IncF
IncFII(pRSB107);IncF
IncFII(pSE11);IncF
IncFII(S);IncF
IncFII(S),IncFII(SARC14);IncF
IncFII(SARC14),IncFII(p14);IncF
IncFII(SARC14),IncFII(Yp);IncF
IncFII(Yp);IncF
IncHI1A(CIT),IncHI1B(CIT);IncHI
IncHI1A,IncHI1B(R27);IncHI
IncHI1B;IncHI
IncHI2;IncHI
IncHI2,IncHI2A;IncHI
IncI;IncI
IncI1;IncI
IncI2;IncI
IncL/M;IncL/M
IncL/M(pMU407);IncL/M
IncL/M(pOXA-48);IncL/M
IncN;IncN
IncN2;IncN
IncN3;IncN
IncP1;IncP
IncP6;IncP
IncQ1;IncQ
IncQ2;IncQ
IncR;IncR
IncU;IncU
IncX1;IncX
IncX3;IncX
IncX4;IncX
IncX5;IncX
IncY;IncY
Col156,IncFIA(HI1),IncFIB(AP001918),IncY;Col,IncF,IncY
Col156,IncFIA,IncFIB(AP001918);Col,IncF
Col156,IncFIA,IncFIB(AP001918),IncFIC(FII);Col,IncF
Col156,IncFIA,IncFIB(AP001918),IncFII;Col,IncF
Col156,IncFIA,IncFIB(AP001918),IncFII(pRSB107);Col,IncF
Col156,IncFIA,IncFIB(AP001918),IncFII,IncFII;Col,IncF
Col156,IncFIA,IncFIB(AP001918),IncQ1;Col,IncF,IncQ
Col156,IncFIA,IncFII(pRSB107);Col,IncF
Col156,IncFIB(AP001918),IncFII;Col,IncF
Col156,IncFIB(AP001918),IncFII(29);Col,IncF
Col156,IncFIB(AP001918),IncFII(29),IncFII(pRSB107);Col,IncF
Col156,IncFIB(AP001918),IncFII(pCoo);Col,IncF
Col156,IncFIB(AP001918),IncFII,IncFII(pCoo);Col,IncF
ColKP3,IncFIB(AP001918),IncFIC(FII);Col,IncF
ColKP3,IncFIB(K),IncX3;Col,IncF,IncX
ColKP3,IncFIB(pB171),IncFII;Col,IncF
ColKP3,IncFIB(pKPHS1),IncX3,IncY;Col,IncF,IncX,IncY
ColKP3,IncFII(pCoo);Col,IncF
ColKP3,IncR;Col,IncR
ColKP3,IncX3;Col,IncX
ColKP3,IncY;Col,IncY
IncA/C2,IncFIA(HI1);IncA/C,IncF
IncA/C2,IncFIB(K);IncA/C,IncF
IncA/C2,IncFII;IncA/C,IncF
IncA/C2,IncFII(K);IncA/C,IncF
IncA/C2,IncR;IncA/C,IncR
IncB/O/K/Z,IncN;IncB/O/K/Z,IncN
IncFIA(HI1),IncFIB(K),IncFII(K),IncHI1B;IncF,IncHI
IncFIA(HI1),IncFIB(K),IncHI1B;IncF,IncHI
IncFIA(HI1),IncFIB(K),IncR;IncF,IncR
IncFIA(HI1),IncFIB(Mar),IncFIB(pQil),IncHI1B;IncF,IncHI
IncFIA(HI1),IncFII(K),IncR;IncF,IncR
IncFIA(HI1),IncHI1A,IncHI1B(R27);IncF,IncHI
IncFIA(HI1),IncHI2,IncHI2A,IncR;IncF,IncHI,IncR
IncFIA(HI1),IncL/M(pMU407),IncR;IncF,IncL/M,IncR
IncFIA(HI1),IncR;IncF,IncR
IncFIA,IncFIB(AP001918),IncFII(pAMA1167-NDM-5),IncQ1;IncF,IncQ
IncFIA,IncFIB(AP001918),IncFII,IncFII,IncQ1;IncF,IncQ
IncFIA,IncFIB(AP001918),IncFII,IncQ1;IncF,IncQ
IncFIA,IncFIB(AP001918),IncQ1;IncF,IncQ
IncFIA,IncFIB(pB171),IncQ1;IncF,IncQ
IncFIA,IncFII,p0111;IncF,p0111
IncFIA,IncI1;IncF,IncI
IncFIB(AP001918),IncFII,IncQ1;IncF,IncQ
IncFIB(K),IncFIB(K),IncHI1B;IncF,IncHI
IncFIB(K),IncFIB(Mar),IncFIB(pB171),IncFII(K),IncFII(Yp),IncHI1B;IncF,IncHI
IncFIB(K),IncFII(K),IncQ1;IncF,IncQ
