replicon;replicon_family
Col(BS512);Col
Col(IMGS31);Col
Col(IRGK);Col
Col(KPHS6);Col
Col(MG828);Col
Col(MGD2);Col
Col(MP18);Col
Col(Ye4449);Col
Col156;Col
Col3M;Col
Col440I;Col
Col440II;Col
Col8282;Col
ColE10;Col
ColKP3;Col
ColRNAI;Col
ColpVC;Col
FIA(pBK30683);IncF
FII(pBK30683);IncF
IncA/C;IncA/C
IncA/C2;IncA/C
IncB/O/K/Z;IncB/O/K/Z
IncFIA;IncF
IncFIA(HI1);IncF
IncFIA(pBK30683);IncF
IncFIB(AP001918);IncF
IncFIB(K);IncF
IncFIB(Mar);IncF
IncFIB(S);IncF
IncFIB(pB171);IncF
IncFIB(pECLA);IncF
IncFIB(pENTAS01);IncF
IncFIB(pHCM2);IncF
IncFIB(pKPHS1);IncF
IncFIB(pLF82);IncF
IncFIB(pQil);IncF
IncFIC(FII);IncF
IncFII;IncF
IncFII(29);IncF
IncFII(K);IncF
IncFII(S);IncF
IncFII(SARC14);IncF
IncFII(Y);IncF
IncFII(Yp);IncF
IncFII(p14);IncF
IncFII(p96A);IncF
IncFII(pAMA1167-NDM-5);IncF
IncFII(pBK30683);IncF
IncFII(pCRY);IncF
IncFII(pCTU2);IncF
IncFII(pCoo);IncF
IncFII(pECLA);IncF
IncFII(pHN7A8);IncF
IncFII(pKPX1);IncF
IncFII(pMET);IncF
IncFII(pRSB107);IncF
IncFII(pSE11);IncF
IncFII(pseudo);IncF
IncHI1A;IncH
IncHI1A(CIT);IncH
IncHI1B;IncH
IncHI1B(CIT);IncH
IncHI1B(R27);IncH
IncHI2;IncH
IncHI2A;IncH
IncI;IncI
IncI1;IncI
IncI2;IncI
IncL/M;IncL/M
IncL/M(pMU407);IncL/M
IncL/M(pOXA-48);IncL/M
IncN;IncN
IncN2;IncN
IncN3;IncN
IncP1;IncP
IncP6;IncP
IncQ1;IncQ
IncQ2;IncQ
IncR;IncR
IncU;IncU
IncX1;IncX
IncX2;IncX
IncX3;IncX
IncX3(pEC14);IncX
IncX4;IncX
IncX5;IncX
IncX9;IncX
IncY;IncY
No hit found;Unknown
Rep;
Rep7a;Rep7a
RepA;RepA
p0111;p0111
pEC4115;pEC4116
pIP31758(p59);pIP31758(p59)
pSL483;pSL484
pXuzhou21;pXuzhou21
pYE854;pYE855
rep1;Rep1
rep10;Rep10
rep10b;Rep10
rep13;Rep13
rep15;Rep15
rep16;Rep16
rep19;Rep19
rep19a;Rep19
rep19b;Rep19
rep19c;Rep19
rep2;Rep2
rep20;Rep20
rep21;Rep21
rep22;Rep22
rep23;Rep23
rep24a;Rep24
rep24b;Rep24
rep24c;Rep24
rep25;Rep25
rep26;Rep26
rep32;Rep32
rep39;Rep39
rep40;Rep40
rep5a;Rep5
rep5b;Rep6
rep5c;Rep7
rep5d;Rep8
rep6;Rep6
rep7a;Rep7
rep7b;Rep7
rep7de;Rep7
rep9a;Rep9
rep9b;Rep9
rep9c;Rep9
repA;RepA
repUS12;RepUS12
repUS16;RepUS16
repUS18;RepUS18
repUS19;RepUS19
repUS2;RepUS2
repUS20;RepUS20
repUS21;RepUS21
repUS22;RepUS22
repUS23;RepUS23
repUS35;RepUS35
repUS43;RepUS43
repUS46;RepUS46
repUS5;RepUS5
repUS52;RepUS52
repUS65;RepUS65
repUS70;RepUS70
repUS75;RepUS75
repUS76;RepUS76
