Resistance gene;Phenotype
aph(6)-Id;Streptomycin
aph(3'')-Ib;Streptomycin
aac(3)-IIa;Gentamicin, Tobramycin, Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin
blaKPC-2;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
qnrB19;Ciprofloxacin
blaNDM-7;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin
tet(K);Doxycycline, Tetracycline
aadA1;Spectinomycin, Streptomycin
aac(6')-Ib-cr;Ciprofloxacin, Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin, Fluoroquinolone, Ciprofloxacin
ant(2'')-Ia;Gentamicin, Tobramycin
blaCTX-M-15;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
blaTEM-1B;Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin
blaOXA-1;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Piperacillin, Piperacillin+Tazobactam
catA1;Chloramphenicol
catB3;Chloramphenicol
qnrS1;Ciprofloxacin
sul1;Sulfamethoxazole
ant(6)-Ia;Streptomycin
aph(3')-III;Kanamycin, Amikacin, Neomycin, Butirosin, Isepamicin, Lividomycin, Paromomycin, Ribostamycin
blaZ;Amoxicillin, Ampicillin, Penicillin, Piperacillin
erm(C);Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
aadA15;Spectinomycin, Streptomycin
aac(6')-Il;Amikacin, Tobramycin
aph(3')-Ia;Kanamycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Neomycin, Unknown Aminoglycoside
blaVIM-1;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam
mph(A);Erythromycin, Azithromycin, Spiramycin, Telithromycin
dfrA1;Trimethoprim
rmtB;Amikacin, Gentamicin, Tobramycin, Kanamycin, Arbekacin, Sisomicin, Isepamicin
blaVEB-1;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Cefepime, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid, Aztreonam
blaOXA-10;Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam
cmlA1;Chloramphenicol
floR;Chloramphenicol, Florfenicol
ARR-2;Rifampicin
sul2;Sulfamethoxazole
tet(A);Doxycycline, Tetracycline
tet(G);Doxycycline, Tetracycline
aac(3)-IId;Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin
aadA2;Spectinomycin, Streptomycin
aadA5;Spectinomycin, Streptomycin
blaNDM-5;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin
tet(B);Doxycycline, Tetracycline, Minocycline
dfrA12;Trimethoprim
dfrA17;Trimethoprim
blaTEM-1D;Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin
blaOXA-48;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam
dfrA19;Trimethoprim
aph(3')-VI;Amikacin
aph(3')-Ia;Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Neomycin, Unknown Aminoglycoside, Kanamycin
blaNDM-1;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin
blaCMY-6;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
aac(3)-IIa;Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin, Gentamicin, Tobramycin
dfrA14;Trimethoprim
aph(3')-Ia;Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Unknown Aminoglycoside, Kanamycin, Kanamycin, Neomycin
armA;Amikacin, Gentamicin, Tobramycin, Isepamicin, Netilmicin
msr(E);Erythromycin, Azithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S
mph(E);Erythromycin
msr(A);Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S
mph(C);Erythromycin, Spiramycin, Telithromycin
dfrA15;Trimethoprim
rmtC;Amikacin, Gentamicin, Tobramycin, Kanamycin, Arbekacin, Sisomicin, Isepamicin
aac(6')-Ib3;Amikacin, Tobramycin
aac(6')-Ib-cr;Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin, Fluoroquinolone, Ciprofloxacin, Ciprofloxacin
erm(B);Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
aac(6')-Ib-Hangzhou;Amikacin, Tobramycin
blaGES-1;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Ceftazidime, Piperacillin, Ticarcillin
tet(L);Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline
qnrB1;Ciprofloxacin
aac(6')-Ib;Amikacin, Tobramycin, Amikacin, Tobramycin, Kanamycin
blaTEM-1A;Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin
blaOXA-9;Amoxicillin, Ampicillin
aadA2b;Spectinomycin, Streptomycin
blaCTX-M-9;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
blaSHV-12;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
blaOXA-427;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin
dfrA16;Trimethoprim
aph(3')-Ia;Kanamycin, Unknown Aminoglycoside, Kanamycin, Neomycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin
blaLAP-2;Amoxicillin, Ampicillin, Cephalotin, Piperacillin, Ticarcillin
qnrA6;Ciprofloxacin
aph(3')-Ia;Kanamycin, Kanamycin, Neomycin, Unknown Aminoglycoside, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin
aph(3')-Ia;Kanamycin, Kanamycin, Neomycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Unknown Aminoglycoside
blaCTX-M-14;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
ARR-3;Rifampicin
aph(3')-VIa;Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butirosin, Gentamicin, Amikacin
blaKPC-3;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
blaSHV-182;Unknown Beta-lactam
blaSHV-159;Unknown Beta-lactam
blaSHV-158;Unknown Beta-lactam
blaCARB-2;Ampicillin, Amoxicillin, Piperacillin
blaOXA-58;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem, Meropenem
blaIMP-4;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam
aph(3')-Ia;Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Neomycin, Kanamycin, Unknown Aminoglycoside
blaTEM-176;Unknown Beta-lactam
blaOXA-232;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam
qnrS2;Ciprofloxacin
dfrB1;Trimethoprim
aph(3')-Ia;Kanamycin, Unknown Aminoglycoside, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Neomycin
aadA1b;Spectinomycin, Streptomycin
blaCTX-M-39;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
blaOXA-514;Unknown Beta-lactam
ere(A);Erythromycin
tet(C);Doxycycline, Tetracycline
sul3;Sulfamethoxazole
blaDHA-24;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
blaDHA-7;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
blaDHA-1;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
blaOXA-162;Amoxicillin, Ampicillin, Cefepime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam
blaCTX-M-27;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
aph(3')-Ia;Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Unknown Aminoglycoside, Kanamycin, Neomycin, Kanamycin
qnrA1;Ciprofloxacin
aph(3')-Ia;Kanamycin, Neomycin, Unknown Aminoglycoside, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin
aac(6')-IIc;Gentamicin, Tobramycin
aac(6')-Ib;Amikacin, Tobramycin, Kanamycin, Amikacin, Tobramycin
blaTEM-206;Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin
dfrA5;Trimethoprim
fosA;Fosfomycin
blaCMY-42;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
lnu(A);Lincomycin
aph(3')-Ia;Kanamycin, Neomycin, Unknown Aminoglycoside, Kanamycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin
blaTEM-1C;Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin
aph(2'')-Ia;Amikacin, Gentamicin, Tobramycin, Kanamycin
dfrE;Trimethoprim
qnrB4;Ciprofloxacin
blaVIM-4;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam
catA2;Chloramphenicol
blaOXA-181;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam
blaCMY-4;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
blaCMY-16;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
aph(3')-Ia;Unknown Aminoglycoside, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Kanamycin, Neomycin
blaCTX-M-14b;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
tet(D);Doxycycline, Tetracycline
blaIMI-2;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam
aph(3')-VIb;Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butirosin, Gentamicin, Amikacin
cat(pC221);Chloramphenicol
blaIMP-1;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam
aadD;Amikacin, Tobramycin
dfrK;Trimethoprim
cat(pC233);Chloramphenicol
blaVEB-6;Unknown Beta-lactam
mupA;Mupirocin
lsa(E);Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin
lnu(B);Lincomycin, Clindamycin
tet(39);Doxycycline, Tetracycline
erm(T);Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S
tet(L);Doxycycline, Tetracycline, Doxycycline, Tetracycline, Minocycline, Tigecycline
aac(6')-31;Amikacin, Gentamicin, Tobramycin, Neomycin, Kanamycin, Netilmicin, Isepamicin, Sisomicin
tet(M);Doxycycline, Tetracycline, Minocycline
rmtF;Amikacin, Gentamicin, Tobramycin
mcr-10.4;Colistin
mcr-10.2;Colistin
blaOXA-245;Cefotaxime, Cefotaxime+Clavulanic acid, Ertapenem, Imipenem
blaTEM-40;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
blaTEM-171;Unknown Beta-lactam
blaTEM-150;Unknown Beta-lactam
aph(3')-Ia;Kanamycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Unknown Aminoglycoside, Kanamycin, Neomycin
dfrA8;Trimethoprim
fosB;Fosfomycin
blaCTX-M-210;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
blaCTX-M-194;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
blaCTX-M-186;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
blaCTX-M-184;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
blaCTX-M-183;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
blaCTX-M-182;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
blaCTX-M-163;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
blaCTX-M-142;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
blaCTX-M-139;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
blaCTX-M-82;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
blaGES-11;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefoxitin, Ceftazidime, Piperacillin, Ticarcillin
dfrA7;Trimethoprim
blaTEM-234;Unknown Beta-lactam
blaTEM-230;Unknown Beta-lactam
blaTEM-217;Unknown Beta-lactam
blaTEM-207;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
blaTEM-198;Unknown Beta-lactam
blaTEM-104;Unknown Beta-lactam
blaTEM-30;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
blaOXA-72;Unknown Beta-lactam
qnrD1;Ciprofloxacin
blaOXA-23;Imipenem, Meropenem
blaTEM-35;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
blaOXA-244;Unknown Beta-lactam
blaSHV-44;Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin
fusB;Fusidic acid
qnrB32;Ciprofloxacin
qnrB9;Ciprofloxacin
blaCTX-M-195;Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin
dfrA27;Trimethoprim
blaCMY-145;Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid
