Plasmid;replicon;mobility;mge_cluster;tnse1D;tnse2D;amr;virulence;metal;biocide;heat;acid;bp_length;GC%;carba_alleles
26S00087_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00091_3;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00092_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00093_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00094_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00096_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00097_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00098_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00100_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00101_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00102_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00102_3;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00103_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00104_4;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00105_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00109_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00110_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00111_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00111_4;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00113_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00115_4;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00118_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00119_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00122_3;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00125_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00127_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00128_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00136_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00139_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
26S00111_2;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;;;
