Plasmid;replicon;mobility;mge_cluster;tnse1D;tnse2D;amr;virulence;metal;biocide;heat;acid;carba_alleles;length
S3846-2023-01-A10_bin_0;IncFIB(S);non-mobilizable;11.0;-10.02976949903395;39.47609178709489;;;;;;;;98177
S4006-2023-07-E05_bin_0;IncHI2,IncHI2A;conjugative;35.0;20.029139233412057;42.68307179748452;aph(3')-Ia,mcr-9.1,sul1;;terD,terW,terZ;;;;;724567
S3997-2023-07-C07_bin_0;Col440I;mobilizable;24.0;-8.035231765070861;20.042604645297764;;;;;;;;5154
S3696-2022-13-C05_bin_0;IncA/C2;conjugative;9.0;2.704140762388117;64.0697500677888;blaCMY-2,sul2;ybtP;;;;;;203372
S3696-2022-13-C05_bin_1;No hit found;mobilizable;-1.0;-4.148243539454222;29.72155811325534;;;;;;;;3372
S3595-2022-11-A02_bin_0;IncA/C2;conjugative;9.0;2.440613506430732;63.53729394808722;blaCMY-2,sul2;;;;;;;109468
S3595-2022-11-A02_bin_1;No hit found;mobilizable;-1.0;-4.000748899009827;29.683858856413774;;;;;;;;3372
S03576-2022-10-C11_bin_0;IncA/C2;conjugative;9.0;2.633810833154181;63.91506472569657;blaCMY-2,tet(A);ybtP;;;;;;184214
S03576-2022-10-C11_bin_1;IncX1;conjugative;-1.0;3.097759562919497;5.436329888674944;;;;;;;;37719
S03576-2022-10-C11_bin_2;ColRNAI;mobilizable;24.0;-7.498994543841881;22.07781687439508;;;;;;;;5669
S4315-2024-05-D05_bin_0;No hit found;conjugative;-1.0;14.60332294582619;29.15689116175445;;;;;;;;83335
S3821-2022-17-H04_bin_0;IncFII(S),IncX1;conjugative;-1.0;3.0993342186420767;5.4997131236328025;;spvD;;;;;;74607
S3821-2022-17-H04_bin_1;ColRNAI;mobilizable;24.0;-7.805585435955535;20.799321754305502;;;;;;;;3646
1092001303_bin_0;IncFIB(S),IncFII(S);conjugative;-1.0;10.556565963210028;27.982623905965404;;spvD;;;;;;93419
S03486-2022-08-B08_bin_0;No hit found;conjugative;9.0;3.0304307301646847;62.69515697622685;aadA1,aph(3')-Ia,dfrA14;ybtP;;;;;;347641
S4032-2023-09-A05_bin_0;No hit found;conjugative;9.0;2.5382850037274074;63.47673885251099;erm(B),sul1;ybtP;merC,merT;;;;;276768
S4032-2023-09-A05_bin_1;No hit found;conjugative;-1.0;3.128078950534735;4.928002461079694;;;;;;;;35939
S03435-2022-06-A09_bin_0;IncA/C2,IncI1;conjugative;9.0;2.548576446517171;63.95274650879663;blaCMY-2,tet(A);ybtP;;;;;;262890
S03435-2022-06-A09_bin_1;No hit found;mobilizable;24.0;-8.265552651253405;20.98221888259288;;;;;;;;3282
S03435-2022-06-A09_bin_2;ColpVC;mobilizable;-1.0;-7.042957984488619;33.73333202139034;;;;;;;;2096
S00751-2020-11-D05_bin_0;No hit found;conjugative;9.0;3.042194633020427;62.71687404438539;tet(A);ybtP;;;;;;274965
S4096-2023-11-E04_bin_Unbinned;IncX1;conjugative;-1.0;3.0981379612141917;5.520647868818005;;;;;;;;40283
