AMBLER_CLASS;NAME;ALTERNATIVE_NAME;SUBFAMILY;blaNAME;GENPEPT_ID;GENBANK_ID;PUBMED_ID;SEQUENCE_LINK;NUMBER_PDB_STRUCTURES;MUTANTS;PHENOTYPE;FUNCTIONAL_INFORMATION;NATURAL_OR_AQUIRED
A;AXC-1;NULL;NULL;blaAXC-1;ATG32091;MF767301;29802257 (DOI);view;NULL;NULL;NULL;carbapenemase;N (Achromobacter xylosoxidans JC186)
A;AXC-2;NULL;NULL;blaAXC-2;AXM44138;MH742744;38392853 (DOI);view;NULL;NULL;NULL;carbapenemase;N (Achromobacter ruhlandii)
A;AXC-3;NULL;NULL;blaAXC-3;AXM44139;MH742745;NULL;view;NULL;NULL;NULL;carbapenemase;N (Achromobacter ruhlandii)
A;AXC-4;NULL;NULL;blaAXC-4;QEJ74006.1;MN339509;NULL;view;NULL;NULL;NULL;carbapenemase;N (Achromobacter xylosoxidans 196353)
A;AXC-5;NULL;NULL;blaAXC-5;QEJ80833.1;MN370453;NULL;view;NULL;NULL;NULL;carbapenemase;N (Achromobacter xylosoxidans 174423)
A;AXC-6;NULL;NULL;blaAXC-6;QUR41148;MZ025964;NULL;view;NULL;NULL;NULL;carbapenemase;N (Achromobacter ruhlandii)
A;AXC-7;NULL;NULL;blaAXC-7;UGN25768;OL516042;NULL;view;NULL;NULL;NULL;carbapenemase;N (Achromobacter xylosoxidans 163342)
A;AXC-8;NULL;NULL;blaAXC-8;BFR50331;LC834166;NULL;view;NULL;NULL;NULL;carbapenemase;N (Achromobacter ruhlandii GS627)
A;BIC-1;NULL;NULL;blaBIC-1;ADB56658;GQ260093;19901091 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;BIC-2;NULL;NULL;blaBIC-2;WKD79667;OR143113;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;BKC-1;NULL;NULL;blaBKC-1;AKD43328;KP689347;26055384 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;BKC-2;NULL;NULL;blaBKC-2;QJR96167;MT427610;33318020 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;CRP-1;NULL;NULL;blaCRP-1;KIA78998;JTGE01000141;26892778 (DOI);view;NULL;NULL;NULL;carbapenemase;N (Chromobacterium piscinae)
A;CRH-1;NULL;NULL;blaCRH-1;WP_043592266;NZ_JRFR01000016;26892778 (DOI);view;2;NULL;NULL;carbapenemase;N (Chromobacterium haemolyticum)
A;CRH-2;NULL;NULL;blaCRH-2;AQZ55549;KY773614;NULL;view;NULL;NULL;NULL;carbapenemase;N (Chromobacterium haemolyticum)
A;CRH-3;NULL;NULL;blaCRH-3;AQZ55550;KY773615;NULL;view;NULL;NULL;NULL;carbapenemase;N (Chromobacterium haemolyticum)
A;FLC-1;NULL;NULL;blaFLC-1;ATX60370;MG309750;30910900 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;FPH-1;NULL;NULL;blaFPH-1;AJI54894;CP009442;22450977 (DOI);view;NULL;NULL;NULL;carbapenemase;N (Francisella philomiragia O#319-036 [FSC 153])
A;FRI-1;NULL;NULL;blaFRI-1;ALE30770;KT192551;26392482 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;FRI-2;NULL;NULL;blaFRI-2;ANZ90381;KX620467;28605515 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;FRI-3;NULL;NULL;blaFRI-3;AQS23610;KY524440;31302698 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;FRI-4;NULL;NULL;blaFRI-4;WP_088245210;NG_055267;30060114 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;FRI-5;NULL;NULL;blaFRI-5;AWA42532;MH208723;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;FRI-6;NULL;NULL;blaFRI-6;AZK35806;MK248729;31725164 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;FRI-7;NULL;NULL;blaFRI-7;BBI97867;AP019534;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;FRI-8;NULL;NULL;blaFRI-8;BBJ69931;AP019635;36802273 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;FRI-9;NULL;NULL;blaFRI-9;BBJ65425;AP019633;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;FRI-10;NULL;NULL;blaFRI-10;QPQ08642;MW349709;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;FRI-11;NULL;NULL;blaFRI-11;UAN38692;CP074155;NULL;view;NULL;NULL;NULL;carbapenemase;A
A;FRI-12;NULL;NULL;blaFRI-12;UUM03679;OP142442;39046566 (DOI);view;NULL;NULL;NULL;carbapenemase;A
A;GES-4;NULL;NULL;blaGES-4;BAD08689;AB116260;15273099 (DOI);view;NULL;NULL;2f;carbapenemase;A
A;GES-5;NULL;NULL;blaGES-5;AKP49275;KR014105;15135524 (DOI);view;8;NULL;2f;carbapenemase;A
A;GES-14;NULL;NULL;blaGES-14;ADC91899;GU207844;20805394 (DOI);view;1;NULL;2f;carbapenemase;A
A;GES-16;NULL;NULL;blaGES-16;ADJ94120;HM173356;29861147 (DOI);view;NULL;NULL;2f;carbapenemase;A
A;GES-20;NULL;NULL;blaGES-20;YP_006953606;NC_019081;22526300 (DOI);view;NULL;NULL;2f;carbapenemase;A
A;GES-21;NULL;NULL;blaGES-21;AFK80745;JQ772478;—(—);view;NULL;NULL;2f;carbapenemase;A
A;GES-24;NULL;NULL;blaGES-24;BAP75641;AB901141;30289383 (DOI);view;NULL;NULL;2f;carbapenemase;A
A;GES-25;NULL;NULL;blaGES-25;ALE31310;KT732289;—(—);view;NULL;NULL;2f;carbapenemase;A
A;GES-28;NULL;NULL;blaGES-28;ALC74967;KT626944;—(—);view;NULL;NULL;2f;carbapenemase;A
A;GES-30;NULL;NULL;blaGES-30;BAU51851;LC126615;—(—);view;NULL;NULL;2f;carbapenemase;A
A;GES-33;NULL;NULL;blaGES-33;ARB50425;KY783911;NULL;view;NULL;NULL;NULL;carbapenemase;A
